time_ms, x_mm, y_mm, heading_deg
21649, 728.5421033433672, 195.0578672481227, 85
21715, 729.1521935426008, 202.031230134765, 85
21782, 729.7622837418344, 209.0045930214071, 85
21851, 730.372373941068, 215.9779559080494, 85
21915, 730.8953083975539, 221.9551240965998, 85
21982, 731.6270076404274, 228.9167773641777, 84
22051, 732.237097839661, 235.89014025082, 85
22115, 732.2545502460984, 236.8899879459764, 89
22183, 732.2894497428008, 235.8905971189573, 92
22250, 732.2894497428008, 235.8905971189573, 95
22314, 732.1502766418408, 236.8808651876988, 98
22378, 732.3410856372172, 235.8992380042511, 101
22443, 732.3410856372172, 235.8992380042511, 105
22512, 732.3410856372172, 235.8992380042511, 108
22576, 732.3410856372172, 235.8992380042511, 111
22642, 732.3410856372172, 235.8992380042511, 115
22708, 732.3410856372172, 235.8992380042511, 118
22775, 732.3410856372172, 235.8992380042511, 121
22838, 732.3410856372172, 235.8992380042511, 124
22904, 732.3410856372172, 235.8992380042511, 128
22972, 732.3410856372172, 235.8992380042511, 131
23040, 732.3410856372172, 235.8992380042511, 134
23106, 732.3410856372172, 235.8992380042511, 138
23173, 732.3410856372172, 235.8992380042511, 141
23241, 732.3410856372172, 235.8992380042511, 144
23304, 732.3410856372172, 235.8992380042511, 148
23372, 732.3410856372172, 235.8992380042511, 150
23441, 732.3410856372172, 235.8992380042511, 146
23506, 732.3410856372172, 235.8992380042511, 143
23570, 732.3410856372172, 235.8992380042511, 140
23634, 732.3410856372172, 235.8992380042511, 137
23702, 732.3410856372172, 235.8992380042511, 133
23770, 732.3410856372172, 235.8992380042511, 130
23834, 732.3410856372172, 235.8992380042511, 127
23901, 732.3410856372172, 235.8992380042511, 124
23969, 732.3410856372172, 235.8992380042511, 120
24035, 732.3410856372172, 235.8992380042511, 117
24104, 732.3410856372172, 235.8992380042511, 113
24170, 732.3410856372172, 235.8992380042511, 110
24235, 732.3410856372172, 235.8992380042511, 107
24304, 732.3410856372172, 235.8992380042511, 104
24372, 732.3410856372172, 235.8992380042511, 100
24437, 732.3410856372172, 235.8992380042511, 97
24506, 732.3410856372172, 235.8992380042511, 93
24572, 732.3410856372172, 235.8992380042511, 90
24640, 732.3410856372172, 235.8992380042511, 87
24704, 732.3410856372172, 235.8992380042511, 83
24773, 732.3410856372172, 235.8992380042511, 80
24841, 732.3410856372172, 235.8992380042511, 77
24911, 732.3410856372172, 235.8992380042511, 73
24980, 732.3410856372172, 235.8992380042511, 70
25047, 732.3410856372172, 235.8992380042511, 67
25112, 732.3410856372172, 235.8992380042511, 63
25182, 732.3410856372172, 235.8992380042511, 60
25248, 732.3410856372172, 235.8992380042511, 56
25313, 732.3410856372172, 235.8992380042511, 53
25381, 732.3410856372172, 235.8992380042511, 51
25446, 732.3410856372172, 235.8992380042511, 54
25512, 732.3410856372172, 235.8992380042511, 57
25580, 732.3410856372172, 235.8992380042511, 61
25646, 732.3410856372172, 235.8992380042511, 64
25712, 732.3410856372172, 235.8992380042511, 67
25776, 732.3410856372172, 235.8992380042511, 70
25844, 732.3410856372172, 235.8992380042511, 74
25910, 732.3410856372172, 235.8992380042511, 77
25977, 732.3410856372172, 235.8992380042511, 80
26047, 732.3410856372172, 235.8992380042511, 84
26112, 732.3410856372172, 235.8992380042511, 87
26177, 732.3410856372172, 235.8992380042511, 90
26243, 732.3410856372172, 235.8992380042511, 94
26311, 732.3410856372172, 235.8992380042511, 97
26381, 732.3410856372172, 235.8992380042511, 101
26452, 732.3410856372172, 235.8992380042511, 104
26517, 732.3410856372172, 235.8992380042511, 107
26583, 732.3410856372172, 235.8992380042511, 111
26650, 732.3410856372172, 235.8992380042511, 114
26716, 732.3410856372172, 235.8992380042511, 117
26782, 732.3410856372172, 235.8992380042511, 121
26848, 732.3410856372172, 235.8992380042511, 124
26914, 732.3410856372172, 235.8992380042511, 127
26975, 732.3410856372172, 235.8992380042511, 130
27043, 732.3410856372172, 235.8992380042511, 133
27106, 732.3410856372172, 235.8992380042511, 137
27172, 732.3410856372172, 235.8992380042511, 140
27238, 732.3410856372172, 235.8992380042511, 143
27303, 732.3410856372172, 235.8992380042511, 147
27371, 732.3410856372172, 235.8992380042511, 150
27437, 732.3410856372172, 235.8992380042511, 153
27503, 732.3410856372172, 235.8992380042511, 157
27569, 732.3410856372172, 235.8992380042511, 160
27634, 732.3410856372172, 235.8992380042511, 163
27700, 732.3410856372172, 235.8992380042511, 167
27764, 732.3410856372172, 235.8992380042511, 170
27832, 732.3410856372172, 235.8992380042511, 173
27899, 732.3410856372172, 235.8992380042511, 177
27969, 732.3410856372172, 235.8992380042511, 180
28034, 732.3410856372172, 235.8992380042511, 182
28103, 732.3410856372172, 235.8992380042511, 179
28171, 732.3410856372172, 235.8992380042511, 175
28236, 732.3410856372172, 235.8992380042511, 172
28303, 732.3410856372172, 235.8992380042511, 169
28372, 732.3410856372172, 235.8992380042511, 166
28438, 732.3410856372172, 235.8992380042511, 162
28505, 732.3410856372172, 235.8992380042511, 159
28572, 732.3410856372172, 235.8992380042511, 155
28638, 732.3410856372172, 235.8992380042511, 152
28705, 732.3410856372172, 235.8992380042511, 149
28772, 732.3410856372172, 235.8992380042511, 145
28841, 732.3410856372172, 235.8992380042511, 142
28906, 732.3410856372172, 235.8992380042511, 139
28972, 732.3410856372172, 235.8992380042511, 135
29040, 732.3410856372172, 235.8992380042511, 132
29108, 732.3410856372172, 235.8992380042511, 129
29174, 732.3410856372172, 235.8992380042511, 126
29241, 732.3410856372172, 235.8992380042511, 122
29305, 732.3410856372172, 235.8992380042511, 119
29373, 732.3410856372172, 235.8992380042511, 115
29440, 732.3410856372172, 235.8992380042511, 112
29505, 732.3410856372172, 235.8992380042511, 109
29574, 732.3410856372172, 235.8992380042511, 105
29637, 732.3410856372172, 235.8992380042511, 102
29703, 732.3410856372172, 235.8992380042511, 99
29771, 732.3410856372172, 235.8992380042511, 96
29835, 732.3410856372172, 235.8992380042511, 92
29902, 732.3410856372172, 235.8992380042511, 89
29969, 732.3410856372172, 235.8992380042511, 86
30037, 732.3410856372172, 235.8992380042511, 82
30103, 732.3410856372172, 235.8992380042511, 79
30171, 732.3410856372172, 235.8992380042511, 76
30235, 732.3410856372172, 235.8992380042511, 72
30304, 732.3410856372172, 235.8992380042511, 69
30371, 732.3410856372172, 235.8992380042511, 66
30442, 732.3410856372172, 235.8992380042511, 62
30510, 732.3410856372172, 235.8992380042511, 59
30574, 732.3410856372172, 235.8992380042511, 56
30641, 732.3410856372172, 235.8992380042511, 52
30707, 732.3410856372172, 235.8992380042511, 49
30772, 732.3410856372172, 235.8992380042511, 46
30838, 732.3410856372172, 235.8992380042511, 42
30907, 732.3410856372172, 235.8992380042511, 39
30972, 732.3410856372172, 235.8992380042511, 35
31035, 732.3410856372172, 235.8992380042511, 32
31104, 732.3410856372172, 235.8992380042511, 29
31172, 732.3410856372172, 235.8992380042511, 25
31233, 732.3410856372172, 235.8992380042511, 22
31302, 732.3410856372172, 235.8992380042511, 19
31370, 732.3410856372172, 235.8992380042511, 17
31435, 732.3410856372172, 235.8992380042511, 20
31502, 732.3410856372172, 235.8992380042511, 23
31571, 732.3410856372172, 235.8992380042511, 27
31636, 732.3410856372172, 235.8992380042511, 30
31703, 732.3410856372172, 235.8992380042511, 33
31772, 732.3410856372172, 235.8992380042511, 37
31838, 732.3410856372172, 235.8992380042511, 40
31904, 732.3410856372172, 235.8992380042511, 43
31973, 732.3410856372172, 235.8992380042511, 47
32037, 732.3410856372172, 235.8992380042511, 50
32104, 732.3410856372172, 235.8992380042511, 53
32172, 732.3410856372172, 235.8992380042511, 57
32241, 732.3410856372172, 235.8992380042511, 60
32307, 732.3410856372172, 235.8992380042511, 63
32373, 732.3410856372172, 235.8992380042511, 67
32442, 732.3410856372172, 235.8992380042511, 70
32508, 732.3410856372172, 235.8992380042511, 73
32573, 732.3410856372172, 235.8992380042511, 77
32641, 732.3410856372172, 235.8992380042511, 80
32706, 732.3410856372172, 235.8992380042511, 83
32773, 732.3410856372172, 235.8992380042511, 87
32842, 732.3410856372172, 235.8992380042511, 90
32911, 732.3410856372172, 235.8992380042511, 94
32980, 732.3410856372172, 235.8992380042511, 97
33045, 732.3410856372172, 235.8992380042511, 100
33113, 732.3410856372172, 235.8992380042511, 104
33179, 732.3410856372172, 235.8992380042511, 107
33244, 732.3410856372172, 235.8992380042511, 110
33310, 732.3410856372172, 235.8992380042511, 114
33374, 732.3410856372172, 235.8992380042511, 117
33438, 732.3410856372172, 235.8992380042511, 120
33508, 732.3410856372172, 235.8992380042511, 123
33578, 732.3410856372172, 235.8992380042511, 127
33642, 732.3410856372172, 235.8992380042511, 130
33708, 732.3410856372172, 235.8992380042511, 133
33775, 732.3410856372172, 235.8992380042511, 137
33843, 732.3410856372172, 235.8992380042511, 140
33908, 732.3410856372172, 235.8992380042511, 143
33978, 732.3410856372172, 235.8992380042511, 147
34045, 732.3410856372172, 235.8992380042511, 150
34108, 732.3410856372172, 235.8992380042511, 153
34174, 732.3410856372172, 235.8992380042511, 157
34240, 732.3410856372172, 235.8992380042511, 160
34304, 732.3410856372172, 235.8992380042511, 163
34372, 732.3410856372172, 235.8992380042511, 167
34438, 732.3410856372172, 235.8992380042511, 170
34505, 732.3410856372172, 235.8992380042511, 173
34572, 732.3410856372172, 235.8992380042511, 177
34642, 732.3410856372172, 235.8992380042511, 180
34711, 732.3410856372172, 235.8992380042511, 184
34776, 732.3410856372172, 235.8992380042511, 187
34844, 732.3410856372172, 235.8992380042511, 190
34912, 732.3410856372172, 235.8992380042511, 193
34981, 732.3410856372172, 235.8992380042511, 197
35047, 732.3410856372172, 235.8992380042511, 200
35114, 732.3410856372172, 235.8992380042511, 203
35182, 732.3410856372172, 235.8992380042511, 207
35250, 732.3410856372172, 235.8992380042511, 210
35313, 732.3410856372172, 235.8992380042511, 214
35382, 732.3410856372172, 235.8992380042511, 216
35452, 732.3410856372172, 235.8992380042511, 212
35521, 732.3410856372172, 235.8992380042511, 209
35587, 732.3410856372172, 235.8992380042511, 206
35653, 732.3410856372172, 235.8992380042511, 202
35721, 732.3410856372172, 235.8992380042511, 199
35790, 732.3410856372172, 235.8992380042511, 196
35855, 732.3410856372172, 235.8992380042511, 192
35923, 732.3410856372172, 235.8992380042511, 189
35986, 732.3410856372172, 235.8992380042511, 186
36053, 732.3410856372172, 235.8992380042511, 182
36124, 732.3410856372172, 235.8992380042511, 179
36192, 732.3410856372172, 235.8992380042511, 176
36260, 732.3410856372172, 235.8992380042511, 172
36324, 732.3410856372172, 235.8992380042511, 169
36389, 732.3410856372172, 235.8992380042511, 166
36455, 732.3410856372172, 235.8992380042511, 162
36524, 732.3410856372172, 235.8992380042511, 159
36591, 732.3410856372172, 235.8992380042511, 156
36660, 732.3410856372172, 235.8992380042511, 152
36727, 732.3410856372172, 235.8992380042511, 149
36797, 732.3410856372172, 235.8992380042511, 145
36862, 732.3410856372172, 235.8992380042511, 142
36930, 732.3410856372172, 235.8992380042511, 138
36996, 732.3410856372172, 235.8992380042511, 135
37061, 732.3410856372172, 235.8992380042511, 132
37130, 732.3410856372172, 235.8992380042511, 129
37198, 732.3410856372172, 235.8992380042511, 125
37263, 732.3410856372172, 235.8992380042511, 122
37331, 732.3410856372172, 235.8992380042511, 119
37398, 731.9184673754766, 236.8055457912878, 115
37463, 732.2930739688925, 235.878361936721, 112
37527, 732.2930739688925, 235.878361936721, 109
37600, 732.2930739688925, 235.878361936721, 105
37666, 732.2930739688925, 235.878361936721, 102
37732, 732.2930739688925, 235.878361936721, 99
37797, 732.2930739688925, 235.878361936721, 95
37863, 732.2930739688925, 235.878361936721, 92
37930, 732.2930739688925, 235.878361936721, 89
37995, 732.2930739688925, 235.878361936721, 85
38063, 732.2930739688925, 235.878361936721, 82
38128, 732.2930739688925, 235.878361936721, 79
38193, 732.2930739688925, 235.878361936721, 76
38262, 732.2930739688925, 235.878361936721, 72
38330, 732.2930739688925, 235.878361936721, 69
38399, 732.2930739688925, 235.878361936721, 65
38463, 732.2930739688925, 235.878361936721, 62
38532, 732.2930739688925, 235.878361936721, 58
38597, 732.2930739688925, 235.878361936721, 56
38668, 732.2930739688925, 235.878361936721, 52
38738, 732.2930739688925, 235.878361936721, 48
38812, 732.2930739688925, 235.878361936721, 45
38876, 732.2930739688925, 235.878361936721, 41
38946, 732.2930739688925, 235.878361936721, 38
39012, 732.2930739688925, 235.878361936721, 35
39080, 732.2930739688925, 235.878361936721, 31
39148, 732.2930739688925, 235.878361936721, 28
39217, 732.2930739688925, 235.878361936721, 24
39284, 732.2930739688925, 235.878361936721, 21
39351, 732.2930739688925, 235.878361936721, 18
39421, 732.2930739688925, 235.878361936721, 14
39484, 732.2930739688925, 235.878361936721, 11
39552, 732.2930739688925, 235.878361936721, 8
39619, 732.2930739688925, 235.878361936721, 4
39686, 732.2930739688925, 235.878361936721, 1
39753, 732.2930739688925, 235.878361936721, -2
39818, 732.2930739688925, 235.878361936721, -6
39884, 732.2930739688925, 235.878361936721, -9
39953, 732.2930739688925, 235.878361936721, -12
40021, 735.2161841632482, 235.2035087736894, -13
40087, 743.01114468153, 233.4039003389385, -13
40155, 749.803214765462, 231.7104470697408, -14
40223, 750.7595195214251, 231.4180753650181, -17
40291, 749.8198269006393, 231.7600955083437, -20
40360, 752.6013784643396, 230.636275728096, -22
40427, 759.1364414498201, 228.1277000812789, -21
40494, 765.6267284317876, 225.5054539273675, -22
40561, 771.1497575525023, 223.1610671564319, -23
40627, 770.2509635062031, 223.599438303221, -26
40697, 771.1255832133425, 223.1146286829746, -29
40762, 775.4986817490394, 220.690580581743, -29
40831, 781.6210196990152, 217.2969132400186, -29
40900, 788.6179773561304, 213.4184362780479, -29
40963, 792.9910758918274, 210.9943881768162, -29
41032, 798.13407969604, 207.9041597273559, -31
41098, 798.13407969604, 207.9041597273559, -34
41172, 798.13407969604, 207.9041597273559, -37
41235, 801.3286217362291, 205.4968996347477, -37
41301, 807.7177058166075, 200.6823794495313, -37
41367, 813.3081543869386, 196.469674287467, -37
41435, 818.8986029572696, 192.2569691254026, -37
41501, 823.6904160175534, 188.6460789864904, -37
41567, 829.2808645878845, 184.433373824426, -37
41633, 834.8713131582155, 180.2206686623617, -37
41701, 839.6631262184993, 176.6097785234494, -37
41767, 841.1725453789449, 175.2976604654684, -41
41833, 841.1725453789449, 175.2976604654684, -43
41900, 844.8293138870408, 171.8876686651559, -43
41964, 849.948789798375, 167.1136801447184, -43
42028, 854.9841684007456, 162.2510715515054, -44
42094, 859.3722906104604, 158.1590813911304, -43
42162, 864.407669212831, 153.2964727979175, -44
42226, 868.7957914225461, 149.2044826375425, -43
42292, 873.9152673338802, 144.430494117105, -43
42358, 878.2313061359122, 140.262543894351, -44
42425, 884.0821357488656, 134.806557013851, -43
42493, 888.4702579585806, 130.714566853476, -43
42560, 893.5897338699148, 125.9405783330386, -43
42624, 897.9778560796298, 121.8485881726636, -43
42688, 903.097331990964, 117.0745996522261, -43
42754, 905.181307102341, 114.9165802512101, -46
42819, 905.181307102341, 114.9165802512101, -49
42888, 908.4616022472936, 111.1430323500963, -49
42953, 913.054015450227, 105.8600652885369, -49
43021, 918.3024876821513, 99.82238864675471, -49
43087, 922.2388418560943, 95.29413116541807, -49
43151, 926.1751960300373, 90.76587368408143, -49
43218, 930.7676092329709, 85.48290662252203, -49
43285, 935.3600224359045, 80.19993956096263, -49
43353, 939.2963766098475, 75.67168207962599, -49
43420, 943.8887898127811, 70.38871501806658, -49
43487, 948.4812030157148, 65.10574795650718, -49
43553, 953.0736162186484, 59.82278089494777, -49
43621, 957.0099703925914, 55.29452341361115, -49
43692, 961.602383595525, 50.01155635205174, -49
43757, 966.1947967984586, 44.72858929049234, -49
43822, 970.1311509724016, 40.2003318091557, -49
43887, 974.7235641753353, 34.9173647475963, -49
43952, 978.6599183492783, 30.38910726625967, -49
44020, 983.2523315522119, 25.10614020470026, -49
44084, 987.1886857261551, 20.57788272336363, -49
44152, 992.4371579580791, 14.54020608158145, -49
44221, 996.3735121320221, 10.01194860024482, -49
44286, 1000.965925334956, 4.728981538685417, -49
44353, 1004.902279508899, 0.2007240573487854, -49
44422, 1010.150751740823, -5.836952584433391, -49
44488, 1014.087105914766, -10.36521006577002, -49
